YEAR,TEAM ID,TEAM,CONF,SEED,ROUND,W,L,win_pct,GAMES,KADJ EM,KADJ O,KADJ D,BARTHAG,BADJ EM,3PT%,3PTR,3PT%D,3PTRD,EFG%,EFG%D,2PT%,2PT%D,2PTR,2PTRD,KADJ T,K TEMPO,PPPO,FT%,FTR,TALENT,EXP,WAB,ELITE SOS,THREES FG%,THREES SHARE,THREES FG%D,THREES D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,DUNKS FG%,DUNKS SHARE,tournament_round,made_tournament,reached_s16,has_shot_splits,three_rate_category,three_pct_category,three_pct_net,three_rate_net,three_value,3PA,3PM,2PA,2PM
2026,152,Ohio St.,B10,8,0,21,12,63.63636364,33,22.2397,124.305,102.066,0.917,23.609,36.0,40.1,31.6,40.3,56.5,50.3,58.2,52.3,59.9,59.7,66.0578,66.5802,1.186,77.5,37.8,68.946,1.779,2.9,37.869,36.0,40.1,31.6,40.3,67.5,31.2,48.0,28.7,90.6,7.7,0,0,0,1,High (Q4),Mid-High (Q3),4.399999999999999,-0.19999999999999574,43.308,734,264,1097,638
2026,160,Penn,Ivy,14,0,17,11,60.71428571,28,1.46919,107.363,105.894,0.531,1.162,38.7,35.0,31.7,39.3,50.3,51.7,46.2,54.4,65.0,60.7,69.0438,68.8241,1.075,69.5,35.2,17.192,1.869,-6.0,12.952,38.7,35.0,31.7,39.3,53.7,37.4,36.0,27.6,90.6,2.9,0,0,0,1,Mid-Low (Q2),High (Q4),7.0000000000000036,-4.299999999999997,40.635,580,224,1076,497
2026,164,Prairie View A&M,SWAC,16,0,14,17,45.16129032,31,-10.6932,101.205,111.898,0.254,-9.977,33.2,30.9,35.0,32.7,47.9,50.4,47.0,49.4,69.1,67.3,70.938,72.8256,1.037,75.2,42.8,0.231,2.802,-12.6,10.925,33.2,30.9,35.0,32.7,55.6,38.4,36.3,30.7,92.9,2.2,0,0,0,1,Low (Q1),Low (Q1),-1.7999999999999972,-1.8000000000000043,30.776400000000002,565,188,1264,594
2026,167,Purdue,B10,2,0,27,8,77.14285714,35,31.1992,131.635,100.436,0.964,33.037,37.9,40.9,34.2,45.0,57.6,52.3,58.1,53.1,59.1,55.0,64.3693,65.2669,1.247,74.3,28.6,59.3,2.015,9.2,41.305,37.9,40.9,34.2,45.0,72.2,28.2,45.3,30.9,94.8,7.8,0,0,0,1,High (Q4),High (Q4),3.6999999999999957,-4.100000000000001,46.503299999999996,854,324,1234,717
2026,258,Queens,ASun,15,0,20,13,60.60606061,33,-1.43724,115.771,117.209,0.439,-2.45,35.9,46.8,35.8,39.5,56.6,54.0,59.0,54.1,53.2,60.5,69.5919,70.7192,1.19,74.9,36.3,9.008,1.734,-7.0,14.561,35.9,46.8,35.8,39.5,64.0,40.1,43.7,13.1,94.6,7.0,0,0,0,1,High (Q4),Mid-High (Q3),0.10000000000000142,7.299999999999997,50.40359999999999,926,332,1052,621
2026,174,Saint Louis,A10,9,0,27,5,84.375,32,18.321,119.475,101.154,0.858,17.342,40.5,45.1,30.0,41.6,59.7,44.8,58.9,44.6,54.9,58.4,70.9898,71.9297,1.202,74.4,34.7,21.913,1.939,1.9,15.895,40.5,45.1,30.0,41.6,62.6,47.1,36.5,7.8,91.7,5.7,0,0,0,1,High (Q4),High (Q4),10.5,3.5,54.7965,859,348,1046,616
2026,175,Saint Mary's,WCC,7,0,26,5,83.87096774,31,23.0701,120.26,97.1899,0.91,21.803,38.6,36.1,31.2,36.8,52.9,46.7,50.2,46.6,63.9,63.2,65.1588,66.3613,1.169,81.1,35.8,36.989,1.349,4.0,22.727,38.6,36.1,31.2,36.8,58.0,38.7,38.2,25.2,76.4,4.8,0,0,0,1,Mid-High (Q3),High (Q4),7.400000000000002,-0.6999999999999957,41.8038,644,249,1140,572
2026,259,Santa Clara,WCC,10,0,25,8,75.75757576,33,19.3981,123.644,104.246,0.895,21.284,34.9,45.0,33.0,38.2,54.6,51.8,56.5,53.2,55.0,61.8,69.1516,69.572,1.191,74.0,25.8,20.016,1.435,2.1,24.151,34.9,45.0,33.0,38.2,61.6,35.1,47.5,19.9,86.7,8.4,0,0,0,1,High (Q4),Mid-Low (Q2),1.8999999999999986,6.799999999999997,47.114999999999995,959,335,1172,662
2026,182,Siena,MAAC,16,0,23,11,67.64705882,34,-2.09721,107.134,109.231,0.455,-1.697,30.4,31.9,32.8,39.3,50.6,48.6,52.8,48.2,68.1,60.7,64.6233,64.3061,1.093,76.9,34.2,3.878,1.725,-7.8,6.825,30.4,31.9,32.8,39.3,58.4,40.9,44.5,27.2,94.9,4.6,0,0,0,1,Mid-Low (Q2),Low (Q1),-2.3999999999999986,-7.399999999999999,29.092799999999997,598,182,1276,674
2026,183,SMU,ACC,11,0,20,13,60.60606061,33,18.0856,122.893,104.808,0.861,18.073,37.4,36.0,33.9,47.2,55.7,51.4,55.5,52.0,64.0,52.8,68.5372,70.6859,1.182,74.1,30.6,44.289,2.034,-0.02,32.0,37.4,36.0,33.9,47.2,64.5,34.8,44.8,29.2,82.3,9.8,0,0,0,1,Mid-High (Q3),Mid-High (Q3),3.5,-11.200000000000003,40.391999999999996,740,277,1316,730
2026,187,South Florida,Amer,11,0,24,8,75.0,32,16.3874,117.305,100.918,0.835,15.363,33.1,43.8,33.9,39.5,50.9,48.4,51.9,46.7,56.2,60.5,71.5099,72.9091,1.17,74.3,41.1,30.828,2.247,-0.26,18.197,33.1,43.8,33.9,39.5,55.6,46.8,33.3,9.4,82.0,13.6,0,0,0,1,High (Q4),Low (Q1),-0.7999999999999972,4.299999999999997,43.4934,903,299,1160,602
2026,192,St. John's,BE,5,0,28,6,82.35294118,34,25.9079,120.068,94.1597,0.941,25.712,33.2,33.8,31.3,33.7,51.0,47.4,51.6,47.5,66.2,66.3,69.5583,70.9942,1.145,72.7,41.9,70.084,2.3,7.3,31.162,33.2,33.8,31.3,33.7,58.9,44.1,37.0,22.1,93.1,9.5,0,0,0,1,Mid-Low (Q2),Low (Q1),1.9000000000000021,0.09999999999999432,33.6648,705,234,1381,713
2026,197,TCU,B12,9,0,22,11,66.66666667,33,17.5867,115.379,97.7924,0.836,15.195,33.1,36.9,33.7,38.1,50.9,51.0,51.6,51.3,63.1,61.9,67.6696,69.666,1.111,70.8,38.7,50.351,1.807,2.4,33.811,33.2,36.8,33.7,38.1,59.1,39.1,39.5,24.1,87.2,7.4,0,0,0,1,Mid-High (Q3),Low (Q1),-0.6000000000000014,-1.2000000000000028,36.6417,729,241,1248,644
2026,199,Tennessee,SEC,6,0,22,11,66.66666667,33,26.0249,121.055,95.0297,0.941,25.971,33.4,31.7,30.6,44.4,51.6,47.7,52.2,49.2,68.3,55.6,64.973,67.3064,1.168,69.4,38.7,59.748,1.473,4.1,38.555,33.4,31.7,30.6,44.4,60.8,43.5,37.1,24.7,89.3,10.8,0,0,0,1,Mid-Low (Q2),Low (Q1),2.799999999999997,-12.7,31.763399999999997,632,211,1363,711
2026,260,Tennessee St.,OVC,15,0,20,9,68.96551724,29,-1.82605,109.085,110.911,0.394,-4.127,33.7,30.7,33.5,36.0,50.1,51.2,49.9,51.8,69.3,64.0,70.1975,70.5659,1.102,76.3,33.5,3.291,2.506,-5.7,8.742,33.7,30.7,33.5,36.0,59.7,40.4,36.3,28.9,87.2,9.4,0,0,0,1,Low (Q1),Low (Q1),0.20000000000000284,-5.300000000000001,31.0377,551,186,1242,620
2026,200,Texas,SEC,11,0,17,14,54.83870968,31,19.0333,124.97,105.937,0.854,17.664,34.9,36.2,36.0,33.3,54.2,51.2,55.3,49.8,63.8,66.7,66.8781,68.5655,1.195,75.3,46.2,55.968,2.238,-0.21,37.671,34.9,36.2,36.0,33.3,63.0,39.9,42.4,24.0,87.8,10.8,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),-1.1000000000000014,2.9000000000000057,37.9014,642,224,1132,626
