teamstatspk,team,win_percentage,minutes,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,playoff_stage,three_point_volume,three_point_contribution,season_year,three_pt_tier
261,Dallas Mavericks,0.462,48.4,105.2,38.1,84.2,0.452,6.6,17.5,0.379,22.4,28.5,0.7859999999999999,2004-05,Conf Semis,0.20783847980997625,0.18821292775665396,2004,High
262,Indiana Pacers,0.462,48.4,84.0,28.8,73.0,0.395,5.6,17.8,0.316,20.7,26.4,0.784,2004-05,Conf Semis,0.24383561643835616,0.19999999999999996,2004,Low
263,Boston Celtics,0.429,48.7,87.7,32.9,74.3,0.442,4.9,14.9,0.327,17.1,22.7,0.755,2004-05,R1 Exit,0.20053835800807537,0.1676168757126568,2004,Low
264,Houston Rockets,0.429,48.0,97.6,35.0,75.1,0.466,7.1,17.7,0.40299999999999997,20.4,25.9,0.79,2004-05,R1 Exit,0.23568575233022637,0.21823770491803277,2004,High
265,Washington Wizards,0.4,48.0,100.4,35.1,82.6,0.425,5.6,18.8,0.298,24.6,33.8,0.728,2004-05,Conf Semis,0.22760290556900728,0.16733067729083662,2004,Low
266,Chicago Bulls,0.333,48.0,102.5,35.5,84.7,0.419,9.0,23.2,0.38799999999999996,22.5,31.2,0.722,2004-05,R1 Exit,0.2739079102715466,0.2634146341463415,2004,High
267,Denver Nuggets,0.2,49.0,90.2,32.8,78.6,0.41700000000000004,2.2,8.4,0.262,22.4,30.4,0.737,2004-05,R1 Exit,0.1068702290076336,0.07317073170731708,2004,Low
268,Philadelphia 76ers,0.2,49.0,90.8,34.8,79.6,0.43700000000000006,6.6,19.4,0.34,14.6,20.4,0.716,2004-05,R1 Exit,0.24371859296482412,0.21806167400881055,2004,Medium
269,Sacramento Kings,0.2,48.0,102.2,38.4,86.2,0.445,5.8,20.8,0.27899999999999997,19.6,24.6,0.797,2004-05,R1 Exit,0.24129930394431554,0.17025440313111545,2004,Low
270,Memphis Grizzlies,0.0,48.0,102.8,41.5,87.8,0.473,7.8,19.8,0.392,12.0,17.0,0.706,2004-05,R1 Exit,0.22551252847380412,0.22762645914396887,2004,High
271,New Jersey Nets,0.0,50.5,96.8,33.5,84.8,0.395,6.3,21.5,0.29100000000000004,23.5,31.3,0.752,2004-05,R1 Exit,0.2535377358490566,0.1952479338842975,2004,Low
272,Detroit Pistons,0.696,48.9,87.1,31.4,76.3,0.41200000000000003,4.2,13.9,0.304,20.1,27.3,0.7340000000000001,2003-04,Champion,0.18217562254259503,0.14466130884041334,2003,Low
273,New Jersey Nets,0.636,49.4,88.2,30.8,72.8,0.423,4.5,16.4,0.272,22.1,30.3,0.73,2003-04,Conf Semis,0.22527472527472525,0.15306122448979592,2003,Low
274,Indiana Pacers,0.625,48.0,85.5,30.7,75.1,0.408,5.9,17.8,0.33299999999999996,18.2,24.8,0.733,2003-04,Conf Finals,0.23701731025299602,0.20701754385964916,2003,Medium
275,San Antonio Spurs,0.6,48.0,89.3,33.5,76.2,0.44,6.9,18.9,0.365,15.4,23.9,0.644,2003-04,Conf Semis,0.2480314960629921,0.23180291153415458,2003,High
276,Los Angeles Lakers,0.591,48.5,88.1,33.0,74.5,0.444,5.0,15.5,0.321,17.1,27.9,0.612,2003-04,Finals,0.2080536912751678,0.17026106696935303,2003,Low
277,Sacramento Kings,0.583,48.4,95.2,35.3,82.9,0.425,5.8,16.8,0.348,18.8,24.8,0.758,2003-04,Conf Semis,0.20265379975874548,0.18277310924369747,2003,Medium
278,Minnesota Timberwolves,0.556,48.3,91.9,33.9,77.1,0.441,5.9,15.2,0.387,18.2,23.3,0.78,2003-04,Conf Finals,0.19714656290531776,0.19260065288356912,2003,High
279,Miami Heat,0.462,48.0,84.1,30.5,74.8,0.408,3.7,13.4,0.276,19.3,25.6,0.754,2003-04,Conf Semis,0.179144385026738,0.1319857312722949,2003,Low
280,New Orleans Hornets,0.429,48.0,80.6,29.3,76.3,0.384,5.9,18.6,0.315,16.1,20.7,0.779,2003-04,R1 Exit,0.24377457404980343,0.21960297766749384,2003,Low
281,Dallas Mavericks,0.2,48.0,99.6,38.2,96.4,0.396,5.0,17.4,0.287,18.2,23.6,0.7709999999999999,2003-04,R1 Exit,0.1804979253112033,0.15060240963855423,2003,Low
282,Denver Nuggets,0.2,48.0,90.6,37.2,87.2,0.42700000000000005,4.4,13.0,0.33799999999999997,11.8,16.8,0.7020000000000001,2003-04,R1 Exit,0.14908256880733944,0.14569536423841062,2003,Medium
283,Houston Rockets,0.2,49.0,84.6,31.8,74.4,0.42700000000000005,4.6,15.2,0.303,16.4,22.8,0.7190000000000001,2003-04,R1 Exit,0.2043010752688172,0.1631205673758865,2003,Low
284,Milwaukee Bucks,0.2,48.0,85.6,32.4,77.8,0.41600000000000004,4.8,14.4,0.33299999999999996,16.0,21.6,0.741,2003-04,R1 Exit,0.18508997429305915,0.16822429906542055,2003,Medium
285,Boston Celtics,0.0,48.0,84.5,28.8,70.5,0.408,5.3,15.8,0.33299999999999996,21.8,27.0,0.8059999999999999,2003-04,R1 Exit,0.22411347517730498,0.18816568047337276,2003,Medium
286,Memphis Grizzlies,0.0,48.0,83.5,30.8,72.5,0.424,3.8,12.8,0.294,18.3,23.5,0.777,2003-04,R1 Exit,0.17655172413793105,0.1365269461077844,2003,Low
287,New York Knicks,0.0,48.0,84.0,30.8,80.0,0.384,4.3,14.5,0.293,18.3,25.3,0.723,2003-04,R1 Exit,0.18125,0.15357142857142855,2003,Low
288,New Jersey Nets,0.7,48.8,93.7,34.2,80.6,0.425,4.7,13.3,0.35,20.6,27.1,0.762,2002-03,Finals,0.16501240694789085,0.1504802561366062,2002,Medium
289,San Antonio Spurs,0.667,48.2,94.8,33.8,76.8,0.441,5.3,15.2,0.35100000000000003,21.8,30.6,0.7120000000000001,2002-03,Champion,0.19791666666666666,0.16772151898734175,2002,Medium
290,Sacramento Kings,0.583,48.8,107.9,39.3,85.5,0.45899999999999996,6.8,18.4,0.36700000000000005,22.7,29.2,0.777,2002-03,Conf Semis,0.2152046783625731,0.18906394810009267,2002,High
291,Dallas Mavericks,0.5,48.5,104.1,38.7,86.1,0.45,9.2,23.2,0.397,17.5,21.1,0.8290000000000001,2002-03,Conf Finals,0.2694541231126597,0.26512968299711814,2002,High
292,Los Angeles Lakers,0.5,48.4,100.3,37.3,83.3,0.44799999999999995,7.1,20.0,0.354,18.5,26.1,0.7090000000000001,2002-03,Conf Semis,0.24009603841536614,0.21236291126620138,2002,Medium
293,Philadelphia 76ers,0.5,48.8,92.1,33.7,75.9,0.44299999999999995,3.8,10.7,0.35200000000000004,21.0,26.2,0.8029999999999999,2002-03,Conf Semis,0.14097496706192356,0.12377850162866448,2002,Medium
